Property Address	Parcel Number	Inspection Date	Grade	License Status	Expiration Date	Mappable Address
906 1/2 South Vine Street	932117426015.00	5/29/2007	Class B	Issued	10/14/2022	"906 1 2 South Vine Street
Urbana, IL
(40.105077, -88.204984)"
1210 1/2 Hill Street	912107410012.00	11/9/2011	Class B	Issued	10/14/2022	"1210 1 2 Hill Street
Urbana, IL
(40.119329, -88.225289)"
908 North Broadway Avenue Unit 504	912108257102.00	2/4/2008	Class B	Issued	10/14/2022	"908 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1211)"
306 East Michigan Avenue	932117430015.00	7/14/2021	Class B	Issued	10/14/2022	"306 East Michigan Avenue
Urbana, IL
(40.102413, -88.2032)"
1209 North Busey Avenue	912108152020.00	12/29/2010	Class A	Issued		"1209 North Busey Avenue
Urbana, IL
(-88.2174, 40.1235)"
1402 East McHenry Street	932121332012.00	5/2/2017	Class B	Expired	10/14/2021	"1402 East McHenry Street
Urbana, IL
(40.088047, -88.19139)"
1817 South Larch Place	932121106022.00	9/14/2017	Class B	Issued	10/14/2022	"1817 South Larch Place
Urbana, IL
(40.0951118469, -88.1974029541)"
906 East Harding Drive Unit 104	932121152031.00	3/14/2017	Class B	Issued	10/14/2022	"906 East Harding Drive
Urbana, IL
(40.0940856934, -88.196105957)"
1005 East Washington Street	922116304003.00	7/15/2015	Class B	Issued		"1005 East Washington Street
Urbana, IL
(-88.1961, 40.1054)"
902 East Park Street	912109307001.00	8/2/2010	Class B	Expired	10/14/2022	"902 East Park Street
Urbana, IL
(-88.1972, 40.1174)"
909 East Park Street	912109308005.00	9/1/2021	Class B	Issued	10/14/2022	"909 East Park Street
Urbana, IL
(40.116985321, -88.1963195801)"
712 West California Avenue	922117155010.00	11/27/2012	Class C	Issued		"712 West California Avenue
Urbana, IL
(-88.2173, 40.1084)"
812 West Nevada Street	922117153016.00	1/22/2013	Class B	Expired	10/14/2022	"812 West Nevada Street
Urbana, IL
(-88.219, 40.1067)"
808 West California Avenue	922117151005.00	9/12/2018	Class B	Issued	10/14/2022	"808 West California Avenue
Urbana, IL
(40.10845, -88.218704)"
404 Springfield Avenue	922117130012.00	4/27/2010	Class B	Issued	10/14/2022	"404 Springfield Avenue
Urbana, IL
(-88.2121, 40.1125)"
1002 South Lierman Avenue Unit D	922116402050.00	7/21/2014	Class B	Issued	10/14/2022	"1002 South Lierman Avenue
Unit D Urbana, IL
(-88.1887, 40.1047)"
302 Cedar Street	922117142001.00	5/29/2014	Class B	Issued	10/14/2021	"302 Cedar Street
Urbana, IL
(-88.2101, 40.1105)"
904 North Broadway Avenue Unit 201	912108257050.00	2/4/2008	Class B	Issued	10/14/2022	"904 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1206)"
1806 South Glenwood Oaks Court	932121108022.00	9/7/2017	Class A	Issued	10/14/2022	"1806 South Glenwood Oaks Court
Urbana, IL
(40.09576, -88.19571)"
1006 Springfield Avenue	912107483012.00	2/9/2009	Class B	Issued	10/14/2022	"1006 Springfield Avenue
Urbana, IL
(-88.2214, 40.113)"
203 West Nevada Street	922117260003.00	4/13/2009	Class B	Expired	10/14/2022	"203 West Nevada Street
Urbana, IL
(-88.2092, 40.1064)"
811 South Webber Street	922116161023.00	7/18/2012	Class B	Issued	10/14/2022	"811 South Webber Street
Urbana, IL
(-88.1994, 40.1061)"
3013 Rutherford Drive	912110407049.00	3/12/2015	Class B	Issued		"3013 Rutherford Drive
Urbana, IL
(-88.1635, 40.1157)"
1506 Philo Road	922116453003.00	5/17/2013	Class B	Issued	10/14/2022	"1506 Philo Road
Urbana, IL
(-88.1908, 40.0996)"
109 West Illinois Street	922117252014.00	6/19/2019	Class B	Fee Exempt Registration	10/14/2022	"109 West Illinois Street
Urbana, IL
(40.1089477539, -88.2084274292)"
806 Fairlawn Drive	922116302033.00	3/8/2016	Class B	Expired	10/14/2022	"806 Fairlawn Drive
Urbana, IL
(-88.1983, 40.1033)"
201 East California Avenue	922117258001.00	4/2/2007	Class B	Expired	10/14/2021	"201 East California Avenue
Urbana, IL
(-88.206, 40.1083)"
1601 South Bunker Court	912115355026.00	3/15/2018	Class B	Issued	10/14/2022	"1601 South Bunker Court
Urbana, IL
(40.099472, -88.1787)"
1002 East Florida Avenue	922116354015.00	6/14/2016	Class B	Expired	10/14/2022	"1002 East Florida Avenue
Urbana, IL
(-88.1965, 40.0986)"
1100 East Willard Street	932121378007.00	3/3/2017	Class C	Issued	10/14/2022	"1100 East Willard Street
Urbana, IL
(40.08448, -88.19515)"
909 Anderson Street	932117427018.00	11/10/2009	Class B	Issued		"909 Anderson Street
Urbana, IL
(-88.2006, 40.1047)"
1006 East Willard Street	932121358011.00	3/28/2017	Class B	Issued	10/14/2022	"1006 East Willard Street
Urbana, IL
(40.0844764709, -88.1957778931)"
2603 South Anderson Street	932121353007.00	3/29/2017	Class B	Issued	10/14/2022	"2603 South Anderson Street
Urbana, IL
(40.084003, -88.19977)"
1904 South Anderson Street	932121152008.00	3/17/2017	Class B	Issued	10/14/2022	"1904 South Anderson Street
Urbana, IL
(40.09408, -88.198326)"
1404 East Silver Street	932121180016.00	3/20/2017	Class C	Issued	10/14/2022	"1404 East Silver Street
Urbana, IL
(40.091705, -88.19101)"
908 North Broadway Avenue Unit 303	912108257077.00	4/10/2008	Class B	Expired	10/14/2022	"908 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1211)"
903 West Nevada Street	932118281006.00	12/7/2016	Class B	Issued	10/14/2021	"903 West Nevada Street
Urbana, IL
(-88.2197, 40.1057)"
914 Wascher Drive	912107279006.00	12/23/2010	Class B	Issued	10/14/2022	"914 Wascher Drive
Urbana, IL
(-88.221, 40.1227)"
201 North Lincoln Avenue	912107486012.00	2/5/2009	Class B	Issued	10/14/2022	"201 North Lincoln Avenue
Urbana, IL
(-88.2195, 40.1138)"
