Property Address	Parcel Number	Inspection Date	Grade	License Status	Expiration Date	Mappable Address
1508 East Florida Avenue	922116453016.00	2/15/2016	Class B	Expired	10/14/2022	"1508 East Florida Avenue
Urbana, IL
(-88.1893, 40.0985)"
1103 South Lynn Street	922116302029.00	2/26/2016	Class B	Issued	10/14/2022	"1103 South Lynn Street
Urbana, IL
(-88.1982, 40.1036)"
2004 Burlison Drive	932120254002.00	9/14/2016	Class B	Issued		"2004 Burlison Drive
Urbana, IL
(-88.2078, 40.0936)"
902 North Lincoln Avenue	912108151037.00	3/5/2012	Class B	Issued		"902 North Lincoln Avenue
Urbana, IL
(-88.2192, 40.1203)"
1006 Austin Drive	922116402018.00	12/23/2014	Class A	Issued	10/14/2022	"1006 Austin Drive
Urbana, IL
(-88.1873, 40.1047)"
1203 Eads Street	912107259005.00	5/18/2011	Class B	Issued		"1203 Eads Street
Urbana, IL
(-88.2247, 40.1229)"
306 South Lynn Street	922116111006.00	4/18/2012	Class B	Issued	10/14/2022	"306 South Lynn Street
Urbana, IL
(-88.1976, 40.1104)"
2212 Anderson Street	932121305002.00	6/11/2013	Class A	Expired	10/14/2022	"2212 Anderson Street
Urbana, IL
(-88.1995, 40.0882)"
809 Hill Street	912108302010.00	2/7/2014	Class B	Issued	10/14/2022	"809 Hill Street
Urbana, IL
(-88.218, 40.1189)"
1004 South Lierman Avenue Unit D	922116402054.00	7/21/2014	Class B	Issued		"1004 South Lierman Avenue
Unit D Urbana, IL
(-88.1887, 40.1047)"
908 North Broadway Avenue Unit 304	912108257078.00	2/4/2008	Class B	Issued	10/14/2022	"908 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1211)"
502 West Green Street Unit 207	922117127029.00	2/28/2019	Class B	Issued	10/14/2022	"502 West Green Street
Urbana, IL
(40.1110687256, -88.2136001587)"
305 North Lincoln Avenue	912107485001.00	2/10/2009	Class B	Issued		"305 North Lincoln Avenue
Urbana, IL
(-88.22, 40.1147)"
709 East Green Street	922116109002.00	4/23/2012	Class B	Expired	10/14/2020	"709 East Green Street
Urbana, IL
(-88.1991, 40.1106)"
2940 Rutherford Drive	912110406031.00	3/13/2015	Class A	Issued	10/14/2018	"2940 Rutherford Drive
Urbana, IL
(-88.1645, 40.1149)"
813 West Springfield Avenue	922117101008.00	3/21/2018	Class A	Issued	10/14/2022	"813 West Springfield Avenue
Urbana, IL
(40.112526, -88.219)"
1006 Lanore Drive	922116426008.00	8/6/2014	Class B	Issued		"1006 Lanore Drive
Urbana, IL
(-88.1863, 40.1043)"
2113 Lantern Hill Drive	912115304009.00	3/13/2015	Class A	Issued		"2113 Lantern Hill Drive
Urbana, IL
(-88.1798, 40.1039)"
102 South Lincoln Avenue	922117102001.00	7/27/2012	Class B	Issued	10/14/2022	"102 South Lincoln Avenue
Urbana, IL
(-88.2189, 40.112)"
1307 East Green Street	922116129017.00	4/5/2012	Class B	Issued	10/14/2022	"1307 East Green Street
Urbana, IL
(-88.1924, 40.1108)"
506 East Colorado Avenue	932120229030.00	9/14/2017	Class B	Issued	10/14/2022	"506 East Colorado Avenue
Urbana, IL
(40.094963, -88.201385)"
1601 South Anderson Street	932117481017.00	8/5/2021	Class B	Issued	10/14/2022	"1601 South Anderson Street
Urbana, IL
(40.099094, -88.200455)"
907 1/2 East Harding Drive	932121153008.00	7/8/2013	Class B	Issued		"907 1 2 East Harding Drive
Urbana, IL
(-88.1962, 40.0936)"
1001 N Coler Avenue	912108153037.00	2/14/2012	Class B	Issued	10/14/2022	"1001 N Coler Avenue
Urbana, IL
(-88.2161, 40.1211)"
804 East Shurts Street	932121355017.00	3/2/2017	Class C	Expired	10/14/2021	"804 East Shurts Street
Urbana, IL
(40.086464, -88.19807)"
1705 Willow Court	912105477032.00	7/13/2010	Class A	Issued		"1705 Willow Court
Urbana, IL
(-88.2014, 40.1288)"
404 East Iowa Street	932117426019.00	1/26/2010	Class B	Issued		"404 East Iowa Street
Urbana, IL
(-88.2034, 40.105)"
311 West Elm Street	922117136001.00	3/26/2009	Class A	Expired	10/14/2022	"311 West Elm Street
Urbana, IL
(-88.2116, 40.1113)"
107 Crystal Lake Drive	912108405005.00	9/18/2012	Class B	Expired		"107 Crystal Lake Drive
Urbana, IL
(-88.2068, 40.1185)"
1206 Cole Place	922116326017.00	3/16/2016	Class A	Issued		"1206 Cole Place
Urbana, IL
(-88.194, 40.1045)"
1404 Laurel Drive	922116377011.00	3/23/2016	Class B	Issued		"1404 Laurel Drive
Urbana, IL
(-88.1914, 40.101)"
1110 Lanore Drive	922116432005.00	12/24/2014	Class B	Issued	10/14/2022	"1110 Lanore Drive
Urbana, IL
(-88.1863, 40.1029)"
2105 Lantern Hill Drive	912115304005.00	4/9/2015	Class B	Issued		"2105 Lantern Hill Drive
Urbana, IL
(-88.1807, 40.1038)"
1003 South Cottage Grove Avenue	922116304020.00	7/20/2012	Class B	Expired		"1003 South Cottage Grove Avenue
Urbana, IL
(-88.196, 40.1045)"
2202 East Vermont Avenue	912115352020.00	3/12/2015	Class C	Issued	10/14/2022	"2202 East Vermont Avenue
Urbana, IL
(-88.1796, 40.1006)"
1010 North Division Avenue	912108276007.00	10/21/2021	Class B	Issued	10/14/2022	"1010 North Division Avenue
Urbana, IL
(40.1227684021, -88.2050552368)"
1008 Austin Drive	922116402019.00	1/20/2016	Class B	Issued	10/14/2022	"1008 Austin Drive
Urbana, IL
(-88.1873, 40.1046)"
904 North Broadway Avenue Unit 203	912108257052.00	2/4/2008	Class B	Issued	10/14/2022	"904 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1206)"
1118 Austin Drive	922116404011.00	7/18/2014	Class A	Issued	10/14/2022	"1118 Austin Drive
Urbana, IL
(-88.1872, 40.1022)"
906 Anderson Street	922116301007.00	12/5/2012	Class B	Issued	10/14/2022	"906 Anderson Street
Urbana, IL
(-88.1999, 40.105)"
802 West Springfield Avenue Unit B	912108355013.00	12/14/2021	Class B	Issued	10/14/2022	"802 West Springfield Avenue
Unit B Urbana, IL
(40.1129837036, -88.2181243896)"
1208 North Berkley Avenue	912108206004.00	11/15/2021	Class B	Issued	10/14/2022	"1208 North Berkley Avenue
Urbana, IL
(40.124332, -88.20616)"
1805 South Cottage Grove Avenue	932121107022.00	9/1/2017	Class B	Fee Exempt Registration	10/14/2020	"1805 South Cottage Grove Avenue
Urbana, IL
(40.0955047607, -88.1952514648)"
310 North Coler Avenue	912108362004.00	5/25/2017	Class C	Issued	10/14/2022	"310 North Coler Avenue
Urbana, IL
(40.114956, -88.21546)"
805 East Michigan Avenue	922116351012.00	3/23/2016	Class B	Issued		"805 East Michigan Avenue
Urbana, IL
(-88.1979, 40.1014)"
1305 East Michigan Avenue	922116377003.00	5/3/2016	Class B	Issued	10/14/2022	"1305 East Michigan Avenue
Urbana, IL
(-88.192, 40.1015)"
1204 Hill Street	912107410015.00	7/28/2011	Class C	Issued	10/14/2022	"1204 Hill Street
Urbana, IL
(-88.2246, 40.1196)"
105 North Gregory Street	912107483008.00	12/22/2011	Class B	Issued	10/14/2022	"105 North Gregory Street
Urbana, IL
(-88.2209, 40.1133)"
512 West Griggs Street	912108377005.00	8/5/2021	Class B	Issued	10/14/2022	"512 West Griggs Street
Urbana, IL
(40.114735, -88.21424)"
705 South Vine Street	922117264011.00	1/19/2010	Class B	Issued	10/14/2022	"705 South Vine Street
Urbana, IL
(-88.2054, 40.1072)"
1113 Hill Street	912107427004.00	12/16/2011	Class B	Expired		"1113 Hill Street
Urbana, IL
(-88.2232, 40.119)"
2302 South Anderson Street	932121354001.00	4/26/2017	Class A	Issued	10/14/2022	"2302 South Anderson Street
Urbana, IL
(40.087566, -88.199234)"
819 West Clark Street	912108353001.00	12/20/2021	Class A	Issued	10/14/2022	"819 West Clark Street
Urbana, IL
(40.115284, -88.21912)"
1108 North Division Avenue	912108276003.00	10/13/2021	Class C	Issued	10/14/2022	"1108 North Division Avenue
Urbana, IL
(40.1233825684, -88.2050552368)"
305 Griggs Street	912108383003.00	7/14/2010	Class B	Issued		"305 Griggs Street
Urbana, IL
(-88.2109, 40.1142)"
1506 South Vine Street	932117478009.00	3/3/2020	Class B	Issued	10/14/2022	"1506 South Vine Street
Urbana, IL
(40.0990257263, -88.204536438)"
1906 Easy Street	922116428004.00	12/30/2014	Class A	Issued		"1906 Easy Street
Urbana, IL
(-88.184, 40.1052)"
1505 South Smith Road	912115385010.00	3/19/2015	Class B	Issued	10/14/2022	"1505 South Smith Road
Urbana, IL
(-88.1763, 40.1)"
1107 North Highlands Drive	912108276020.00	11/9/2021	Class B	Issued	10/14/2022	"1107 North Highlands Drive
Urbana, IL
(40.123455, -88.204735)"
720 South Broadway Avenue	922117263010.00	9/2/2021	Class B	Issued	10/14/2022	"720 South Broadway Avenue
Urbana, IL
(40.1059494019, -88.2068862915)"
1009 North Goodwin Avenue	912107260006.00	10/11/2011	Class B	Issued		"1009 North Goodwin Avenue
Urbana, IL
(-88.2245, 40.122)"
2308 Lantern Hill Drive	912115302007.00	6/3/2015	Class C	Issued		"2308 Lantern Hill Drive
Urbana, IL
(-88.1771, 40.1051)"
1208 Eastern Drive	922116331019.00	3/4/2016	Class B	Issued	10/14/2022	"1208 Eastern Drive
Urbana, IL
(-88.1932, 40.1039)"
2012 Vawter Street	932121180006.00	2/22/2013	Class B	Issued	10/14/2022	"2012 Vawter Street
Urbana, IL
(-88.1915, 40.0923)"
604 South Race Street	922117256005.00	10/28/2019	Class B	Issued	10/14/2022	"604 South Race Street
Urbana, IL
(40.1080741882, -88.2085494995)"
702 West Green Street	922117106016.00	8/15/2012	Class B	Issued	10/14/2022	"702 West Green Street
Urbana, IL
(-88.2163, 40.1109)"
502 West Green Street Unit 101	922117127015.00	11/24/2008	Class B	Issued		"502 West Green Street
Urbana, IL
(-88.2134, 40.1107)"
610 West Washington Street	922117162018.00	7/19/2013	Class B	Issued	10/14/2022	"610 West Washington Street
Urbana, IL
(-88.2154, 40.1058)"
805 Fairlawn Drive	922116305008.00	3/10/2016	Class B	Issued	10/14/2022	"805 Fairlawn Drive
Urbana, IL
(-88.1987, 40.1029)"
2303 South Anderson Street	932121351002.00	2/21/2017	Class B	Issued	10/14/2022	"2303 South Anderson Street
Urbana, IL
(40.087326, -88.19981)"
109 West Washington Street	932117401010.00	3/12/2009	Class B	Issued	10/14/2022	"109 West Washington Street
Urbana, IL
(-88.2084, 40.1052)"
1401 Silver Street	932121183003.00	11/25/2019	Class B	Issued	10/14/2022	"1401 Silver Street
Urbana, IL
(40.0912475586, -88.1916732788)"
1013 Austin Drive	922116402014.00	7/22/2014	Class B	Expired		"1013 Austin Drive
Urbana, IL
(-88.1878, 40.1041)"
1209 East Main Street	922116127006.00	5/28/2015	Class B	Temporarily Not a Rental		"1209 East Main Street
Urbana, IL
(-88.1936, 40.1127)"
2510 A South Anderson Street	932121357005.00	3/27/2017	Class B	Issued	10/14/2023	"2510 A South Anderson Street
Urbana, IL
(40.0844230652, -88.1990966797)"
1404 East Michigan Avenue	922116376037.00	3/2/2016	Class B	Issued	10/14/2022	"1404 East Michigan Avenue
Urbana, IL
(-88.1916, 40.1018)"
419 West Main Street	912108381001.00	10/29/2021	Class B	Issued	10/14/2022	"419 West Main Street
Urbana, IL
(40.11312, -88.213)"
804 West Michigan Avenue	932117304009.00	9/18/2009	Class B	Issued		"804 West Michigan Avenue
Urbana, IL
(-88.218, 40.1022)"
603 West Nevada Street	922117162006.00	4/24/2013	Class B	Issued	10/14/2022	"603 West Nevada Street
Urbana, IL
(-88.2147, 40.1062)"
1004 East Michigan Avenue	922116307039.00	3/17/2016	Class C	Issued	10/14/2021	"1004 East Michigan Avenue
Urbana, IL
(-88.1965, 40.1018)"
1402 Stout Drive	922116129018.00	3/13/2012	Class B	Issued		"1402 Stout Drive
Urbana, IL
(-88.1922, 40.1108)"
309 North Busey Avenue	912108353021.00	5/22/2008	Class B	Issued	10/14/2022	"309 North Busey Avenue
Urbana, IL
(-88.2176, 40.1152)"
605 South Broadway Avenue Apt C	922117256016.00	10/28/2019	Class B	Issued	10/14/2022	"605 South Broadway Avenue
Apt C Urbana, IL
(40.107914, -88.20767)"
1412 Beech Street	912107251010.00	6/14/2011	Class B	Issued	10/14/2021	"1412 Beech Street
Urbana, IL
(-88.2286, 40.1224)"
512 West California Avenue	922117176006.00	12/19/2018	Class B	Issued	10/14/2022	"512 West California Avenue
Urbana, IL
(40.108536, -88.214325)"
707 West Stoughton Street	912108360003.00	12/22/2021	Class B	Issued	10/14/2022	"707 West Stoughton Street
Urbana, IL
(40.113094, -88.21698)"
511 West Oregon Street	922117161008.00	4/30/2013	Class B	Issued		"511 West Oregon Street
Urbana, IL
(-88.2143, 40.1073)"
101 South Coler Avenue	922117105005.00	1/15/2013	Class B	Expired	10/14/2022	"101 South Coler Avenue
Urbana, IL
(-88.2164, 40.1121)"
2009 Bruce Drive	932121178015.00	6/4/2013	Class A	Issued	10/14/2022	"2009 Bruce Drive
Urbana, IL
(-88.1932, 40.0925)"
412 West Illinois Street	922117134008.00	5/5/2008	Class A	Issued	10/14/2022	"412 West Illinois Street
Urbana, IL
(-88.2129, 40.1093)"
1007 South Cottage Grove Avenue	922116304022.00	3/29/2016	Class B	Expired		"1007 South Cottage Grove Avenue
Urbana, IL
(-88.1959, 40.1042)"
404 South Birch Street	922117138002.00	11/20/2019	Class B	Issued	10/14/2022	"404 South Birch Street
Urbana, IL
(40.109493, -88.21157)"
1011 Geraldine Avenue	912108277012.00	7/30/2010	Class B	Issued		"1011 Geraldine Avenue
Urbana, IL
(-88.2031, 40.1229)"
504 South Busey Avenue	922117155002.00	12/19/2007	Class B	Issued	10/14/2021	"504 South Busey Avenue
Urbana, IL
(-88.2175, 40.1087)"
502 West Green Street Unit 307	922117127042.00	2/2/2009	Class B	Issued		"502 West Green Street
Urbana, IL
(-88.2134, 40.1107)"
505 South Coler Avenue	922117155015.00	2/25/2008	Class B	Issued	10/14/2022	"505 South Coler Avenue
Urbana, IL
(-88.2162, 40.1086)"
1401 Grove Street	932117480003.00	1/19/2010	Class A	Expired	10/14/2022	"1401 Grove Street
Urbana, IL
(-88.2015, 40.1004)"
403 West Springfield Avenue	922117131005.00	4/10/2019	Class B	Issued	10/14/2022	"403 West Springfield Avenue
Urbana, IL
(40.112114, -88.21219)"
401 South Maple Street	922117243004.00	9/2/2021	Class C	Issued	10/14/2022	"401 South Maple Street
Urbana, IL
(40.10983, -88.202774)"
1304 Silver Street	932121181019.00	2/25/2013	Class F	Expired	10/14/2022	"1304 Silver Street
Urbana, IL
(-88.1925, 40.0917)"
1004 Hill Street	912107428013.00	11/4/2011	Class B	Issued		"1004 Hill Street
Urbana, IL
(-88.2211, 40.1194)"
1605 South Cottage Grove Avenue	922116354019.00	3/29/2016	Class C	Issued		"1605 South Cottage Grove Avenue
Urbana, IL
(-88.1959, 40.0988)"
2504 A South Anderson Street	932121357002.00	3/27/2017	Class B	Issued	10/14/2022	"2504 A South Anderson Street
Urbana, IL
(40.08502, -88.19911)"
1008 East Water Street	912109378003.00	3/16/2012	Class B	Issued		"1008 East Water Street
Urbana, IL
(-88.194, 40.1142)"
818 Hill Street	912108301012.00	7/30/2010	Class C	Expired		"818 Hill Street
Urbana, IL
(-88.2188, 40.1194)"
510 North Race Street	912108403002.00	11/22/2010	Class B	Issued		"510 North Race Street
Urbana, IL
(-88.2088, 40.1172)"
1033 South Anderson Street	932117428061.00	1/13/2020	Class B	Issued	10/14/2022	"1033 South Anderson Street
Urbana, IL
(40.103893, -88.20093)"
605 East California Avenue	922117283003.00	12/4/2012	Class B	Issued	10/14/2022	"605 East California Avenue
Urbana, IL
(-88.2008, 40.1083)"
808 West University Avenue	912108304013.00	4/9/2014	Class B	Issued	10/14/2022	"808 West University Avenue
Urbana, IL
(-88.2183, 40.1167)"
1211 Beech Street	912107260001.00	6/17/2011	Class C	Issued	10/14/2022	"1211 Beech Street
Urbana, IL
(-88.2256, 40.1219)"
2504 South Vine Street	932120478004.00	6/12/2013	Class B	Issued	10/14/2022	"2504 South Vine Street
Urbana, IL
(-88.2014, 40.0849)"
106 South Gregory Street	932118228020.00	4/8/2009	Class C	Expired	10/14/2022	"106 South Gregory Street
Urbana, IL
(-88.2202, 40.1118)"
402 West Illinois Street	922117134013.00	5/19/2008	Class B	Issued	10/14/2022	"402 West Illinois Street
Urbana, IL
(-88.2119, 40.1093)"
1610 Hunter Street	922116402015.00	8/14/2014	Class B	Expired		"1610 Hunter Street
Urbana, IL
(-88.1878, 40.104)"
202 North Race Street Apt 101	912108457022.00	10/26/2021	Class B	Issued	10/14/2022	"202 North Race Street
Urbana, IL
(40.1136436462, -88.2086105347)"
1104 Kinch Street	912115304001.00	4/8/2015	Class B	Issued	10/14/2022	"1104 Kinch Street
Urbana, IL
(-88.1811, 40.1039)"
1305 Silver Street	932121183002.00	5/15/2017	Class B	Issued	10/14/2022	"1305 Silver Street
Urbana, IL
(40.0912437439, -88.1920318604)"
1401 Laurel Drive	922116378020.00	2/15/2016	Class B	Expired		"1401 Laurel Drive
Urbana, IL
(-88.1917, 40.1006)"
302 North Orchard Street	912108377004.00	8/5/2021	Class A	Issued	10/14/2022	"302 North Orchard Street
Urbana, IL
(40.114742, -88.214485)"
2206 East Country Squire Drive	912115305029.00	3/4/2015	Class A	Issued		"2206 East Country Squire Drive
Urbana, IL
(-88.1792, 40.1029)"
2207 South Philo Road	932121332017.00	5/11/2017	Class B	Expired	10/14/2021	"2207 South Philo Road
Urbana, IL
(40.089252, -88.19096)"
402 West Washington Street	922117181015.00	3/8/2019	Class A	Temporarily Not a Rental	10/14/2020	"402 West Washington Street
Urbana, IL
(40.105774, -88.21185)"
1210 South Lanore Drive	922116477005.00	3/13/2018	Class B	Issued	10/14/2022	"1210 South Lanore Drive
Urbana, IL
(40.1008529663, -88.1862258911)"
505 East California Avenue	922117282003.00	1/19/2010	Class B	Expired	10/14/2022	"505 East California Avenue
Urbana, IL
(-88.2018, 40.1083)"
1506 South Lincolnwood Drive	922116478009.00	5/11/2017	Class B	Issued	10/14/2022	"1506 South Lincolnwood Drive
Urbana, IL
(40.10037, -88.18529)"
704 North Lincoln Avenue	912108302004.00	1/23/2014	Class B	Issued	10/14/2022	"704 North Lincoln Avenue
Urbana, IL
(-88.2191, 40.1185)"
612 West Elm Street	922117110002.00	12/23/2008	Class B	Issued		"612 West Elm Street
Urbana, IL
(-88.2159, 40.1117)"
712 Stoughton Street	912108359007.00	11/2/2010	Class C	Issued	10/14/2022	"712 Stoughton Street
Urbana, IL
(-88.2174, 40.1135)"
910 South Lierman Avenue Unit B	922116402044.00	7/21/2014	Class B	Issued		"910 South Lierman Avenue
Unit B Urbana, IL
(-88.1887, 40.1056)"
1207 Cole Place	922116331016.00	2/15/2016	Class B	Issued		"1207 Cole Place
Urbana, IL
(-88.1937, 40.1042)"
404 West High Street	922117133009.00	9/27/2018	Class B	Issued	10/14/2022	"404 West High Street
Urbana, IL
(40.110085, -88.21225)"
904 South Race Street	932117401004.00	12/18/2019	Class B	Issued	10/14/2022	"904 South Race Street
Urbana, IL
(40.1050033569, -88.2092895508)"
1313 East Harding Drive	932121177037.00	2/28/2017	Class B	Issued	10/14/2022	"1313 East Harding Drive
Urbana, IL
(40.0936012268, -88.1922836304)"
606 Johnson Avenue	922116160003.00	7/21/2015	Class B	Issued	10/14/2021	"606 Johnson Avenue
Urbana, IL
(-88.1965, 40.1081)"
807 North Busey Avenue	912108301021.00	8/10/2010	Class A	Expired	10/14/2022	"807 North Busey Avenue
Urbana, IL
(-88.2173, 40.1198)"
1104 East Main Street	912109377015.00	3/14/2012	Class C	Expired	10/14/2022	"1104 East Main Street
Urbana, IL
(-88.1954, 40.1132)"
701 North Coler Avenue	912108305021.00	2/12/2014	Class B	Issued	10/14/2022	"701 North Coler Avenue
Urbana, IL
(-88.2159, 40.1186)"
809 South Busey Avenue	922117154013.00	9/10/2018	Class B	Issued	10/14/2022	"809 South Busey Avenue
Urbana, IL
(40.1055603027, -88.2181091309)"
903 Wabash Avenue	922116303007.00	6/22/2012	Class B	Issued		"903 Wabash Avenue
Urbana, IL
(-88.1968, 40.1053)"
1904 East Country Squire Drive	922116431023.00	1/27/2015	Class B	Expired	10/14/2022	"1904 East Country Squire Drive
Urbana, IL
(-88.1846, 40.1027)"
807 West Illinois Street	922117151009.00	9/25/2018	Class B	Issued	10/14/2022	"807 West Illinois Street
Urbana, IL
(40.1087837219, -88.2188568115)"
1301 East Michigan Avenue	922116377001.00	4/18/2016	Class B	Issued		"1301 East Michigan Avenue
Urbana, IL
(-88.1925, 40.1014)"
1012 North Busey Avenue	912108153011.00	8/7/2012	Class B	Issued	10/14/2022	"1012 North Busey Avenue
Urbana, IL
(-88.2166, 40.1219)"
117 West Michigan Avenue	932117451001.00	11/25/2019	Class B	Issued	10/14/2022	"117 West Michigan Avenue
Urbana, IL
(40.10178, -88.20932)"
403 West Green Street	922117133004.00	4/30/2019	Class B	Issued	10/14/2022	"403 West Green Street
Urbana, IL
(40.110443, -88.21215)"
710 North Coler Avenue	912108308006.00	3/20/2014	Class B	Issued	10/14/2022	"710 North Coler Avenue
Urbana, IL
(-88.2154, 40.1191)"
1734 East Florida Avenue	922116456027.00	5/7/2013	Class B	Issued	10/14/2021	"1734 East Florida Avenue
Urbana, IL
(-88.1848, 40.0987)"
402 East High Street	922117239005.00	10/11/2021	Class C	Issued	10/14/2022	"402 East High Street
Urbana, IL
(40.110233, -88.20351)"
1908 Weaver Street	922116429015.00	1/6/2015	Class B	Issued	10/14/2022	"1908 Weaver Street
Urbana, IL
(-88.1837, 40.1044)"
1403 Stout Drive	922116178006.00	6/21/2012	Class B	Issued	10/14/2022	"1403 Stout Drive
Urbana, IL
(-88.1919, 40.1103)"
111 South Busey Avenue	922117102016.00	12/13/2012	Class B	Issued	10/14/2019	"111 South Busey Avenue
Urbana, IL
(-88.2182, 40.1114)"
113 Franklin Street	912108253004.00	12/30/2010	Class B	Expired		"113 Franklin Street
Urbana, IL
(-88.2091, 40.1206)"
509 South Cottage Grove Avenue	922116155012.00	1/12/2016	Class C	Issued	10/14/2021	"509 South Cottage Grove Avenue
Urbana, IL
(-88.1961, 40.1087)"
711 West Main Street	912108359017.00	6/17/2008	Class B	Issued	10/14/2022	"711 West Main Street
Urbana, IL
(-88.2173, 40.1139)"
901 East Colorado Avenue	932121152041.00	3/21/2017	Class B	Issued	10/14/2022	"901 East Colorado Avenue
Urbana, IL
(40.0944404602, -88.1961975098)"
1004 Geraldine Avenue	912108278011.00	11/3/2010	Class B	Issued	10/14/2022	"1004 Geraldine Avenue
Urbana, IL
(-88.2025, 40.1223)"
1106 North Division Avenue	912108276004.00	7/10/2018	Class C	Issued	10/14/2022	"1106 North Division Avenue
Urbana, IL
(40.123222, -88.205055)"
502 Shurts Street	932120476033.00	6/17/2013	Class B	Issued	10/14/2022	"502 Shurts Street
Urbana, IL
(-88.2022, 40.086)"
2005 East Florida Avenue	922116481043.00	5/30/2018	Class B	Issued	10/14/2022	"2005 East Florida Avenue
Urbana, IL
(40.09858, -88.18193)"
903 Division Avenue	912108257013.00	6/12/2017	Class B	Fee Exempt Registration	10/14/2021	"903 Division Avenue
Urbana, IL
(40.1215705872, -88.2055511475)"
1302 South Maple Street	932117477001.00	2/3/2010	Class B	Issued	10/14/2022	"1302 South Maple Street
Urbana, IL
(-88.2021, 40.1015)"
306 West Griggs Street	912108382012.00	10/4/2021	Class B	Fee Exempt Registration	10/14/2022	"306 West Griggs Street
Urbana, IL
(40.1146774292, -88.2108612061)"
1602 South Kinch Street	912115353006.00	3/27/2018	Class B	Issued	10/14/2022	"1602 South Kinch Street
Urbana, IL
(40.09948, -88.18103)"
705 South Cedar Street	922117184008.00	11/8/2019	Class B	Issued	10/14/2022	"705 South Cedar Street
Urbana, IL
(40.107124, -88.21045)"
1301 Eads Street	912107255005.00	6/1/2011	Class B	Issued	10/14/2022	"1301 Eads Street
Urbana, IL
(-88.226, 40.1229)"
1004 South Lincoln Avenue	932117302002.00	2/24/2020	Class C	Issued	10/14/2022	"1004 South Lincoln Avenue
Urbana, IL
(40.1041297913, -88.2188415527)"
1704 East Trails Drive	932128253014.00	2/15/2018	Class B	Issued	10/14/2022	"1704 East Trails Drive
Urbana, IL
(40.077293, -88.18611)"
302 East Barr Avenue	912108280022.00	12/16/2021	Class A	Issued	10/14/2022	"302 East Barr Avenue
Urbana, IL
(40.12041, -88.20452)"
1903 East Washington Street	922116428015.00	2/23/2015	Class B	Issued	10/14/2021	"1903 East Washington Street
Urbana, IL
(-88.1841, 40.1054)"
604 South Lincoln Avenue	922117152006.00	6/28/2018	Class B	Issued	10/14/2022	"604 South Lincoln Avenue
Urbana, IL
(40.1079406738, -88.2189788818)"
109 North Busey Avenue Unit B	912108355019.00	12/10/2021	Class B	Issued	10/14/2021	"109 North Busey Avenue
Unit B Urbana, IL
(40.1131896973, -88.2179489136)"
105 West Florida Avenue	932120201009.00	2/24/2020	Class B	Issued	10/14/2022	"105 West Florida Avenue
Urbana, IL
(40.0981216431, -88.2084274292)"
106 Hartle Avenue	922116129023.00	6/17/2009	Class B	Expired		"106 Hartle Avenue
Urbana, IL
(-88.1919, 40.1122)"
1002 Springfield Avenue	912107483014.00	2/16/2009	Class B	Issued		"1002 Springfield Avenue
Urbana, IL
(-88.2209, 40.113)"
615 Colorado Avenue	932121151003.00	6/24/2013	Class B	Issued	10/14/2022	"615 Colorado Avenue
Urbana, IL
(-88.2001, 40.0947)"
1108 South Country Squire Drive	922116431020.00	1/27/2015	Class B	Expired	10/14/2022	"1108 South Country Squire Drive
Urbana, IL
(-88.1851, 40.1031)"
1304 Briarcliff Drive	922116378034.00	3/21/2016	Class B	Expired	10/14/2022	"1304 Briarcliff Drive
Urbana, IL
(-88.1929, 40.1007)"
1503 East Florida Avenue	932121201013.00	11/30/2017	Class B	Issued	10/14/2022	"1503 East Florida Avenue
Urbana, IL
(40.0973854065, -88.1888504028)"
808 East Washington Street	922116162026.00	8/8/2015	Class B	Issued	10/14/2022	"808 East Washington Street
Urbana, IL
(-88.1981, 40.1059)"
1005 Colorado Avenue	932121152007.00	2/5/2013	Class B	Issued	10/14/2022	"1005 Colorado Avenue
Urbana, IL
(-88.1951, 40.0944)"
802 Fairlawn Drive	922116302031.00	2/29/2016	Class B	Expired	10/14/2018	"802 Fairlawn Drive
Urbana, IL
(-88.1988, 40.1035)"
504 East Green Street	922117235008.00	9/3/2021	Class B	Issued	10/14/2022	"504 East Green Street
Urbana, IL
(40.111076, -88.20211)"
2008 Vawter Street	932121180017.00	1/19/2016	Class B	Expired		"2008 Vawter Street
Urbana, IL
(-88.1915, 40.0927)"
1410 Briarcliff Drive	922116378042.00	3/2/2016	Class B	Issued	10/14/2022	"1410 Briarcliff Drive
Urbana, IL
(-88.1913, 40.1003)"
705 Stoughton Street	912108360006.00	5/22/2008	Class B	Issued	10/14/2022	"705 Stoughton Street
Urbana, IL
(-88.2168, 40.113)"
4 Squire Court	922116432021.00	4/8/2015	Class B	Issued		"4 Squire Court
Urbana, IL
(-88.1859, 40.1022)"
602 South Urbana Avenue	922117281001.00	1/22/2020	Class C	Issued	10/14/2022	"602 South Urbana Avenue
Urbana, IL
(40.108242, -88.20345)"
303 West High Street	922117138006.00	8/7/2019	Class B	Temporarily Not a Rental	10/14/2021	"303 West High Street
Urbana, IL
(40.109627, -88.2107)"
904 North Broadway Avenue Unit 218	912108257067.00	2/4/2008	Class B	Issued		"904 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1206)"
903 East Delaware Avenue	922116354004.00	5/27/2016	Class C	Expired	10/14/2022	"903 East Delaware Avenue
Urbana, IL
(-88.1974, 40.099)"
